Year,USA (New York),Africa_Eastern (Nairobi),Africa_Northern (Cairo),Africa_Southern (Johannesburg),Africa_Western (Lagos),Australia_NZ (Sydney),Brazil (São Paulo),Canada (Toronto),Central_America_Caribbean (Mexico City),Central_Asia (Almaty),China (Shanghai),EU_12 (Warsaw),EU_15 (Paris),Europe_Eastern (Kiev),Europe_Non_EU (Belgrade),European_Free_Trade (Oslo),India (Mumbai),Indonesia (Jakarta),Japan (Tokyo),Mexico (Guadalajara),Middle_East (Riyadh),Pakistan (Karachi),Russia (Moscow),South_Africa (Cape Town),South_America_Northern (Bogotá),South_America_Southern (Buenos Aires),South_Asia (Dhaka),South_Korea (Seoul),Southeast_Asia (Bangkok),Taiwan (Taipei),Argentina (Córdoba),Colombia (Medellín)
2020,549.9943162104191,674.5606663008745,1582.8471961650173,495.0819105168427,3082.154209484178,265.8902403372855,756.3060698592507,421.15732814052217,0.5525265711497,27.536369762240106,1204.8011629401356,119.3156425499842,151.00738544485128,230.82899889673496,482.21429344363753,0.0,3017.8104171379714,3436.857258229377,992.6094611784508,551.7618301698512,2535.6395176972537,2855.879349652781,38.077505977089984,286.3366647104389,385.13127657789005,1099.012097846604,3144.7274961065677,554.5127369906761,2906.609856571343,1691.4427705947408,1352.8665218103447,939.5336224823665
2021,576.2790569534736,687.108473940132,1573.2680772210251,491.82661871696166,3093.5894712739864,268.40072492119623,758.5823485006919,434.07818509998526,0.0,28.586353703825512,1224.5926273793061,175.67053623293967,199.99218500151463,296.38524654474315,540.6375686735036,0.8810214810071505,3057.5544743236387,3455.0734747607944,1004.4922623952059,577.5950409099402,2574.9369765122733,2920.6427949725658,78.57614718546125,299.545979668367,378.74527136978963,1074.1523400970282,3148.389138103462,585.1856223236974,2957.7028707638733,1732.8282425120874,1327.710574921024,956.7337449810345
2022,596.2226985241518,688.5109899615941,1588.682346619921,512.7930498993125,3099.6825037835865,262.09916815701365,734.7994819887866,467.51788941526894,0.0,23.640330746843937,1190.4903473413312,131.20758058234665,159.8842026588355,239.66871584339452,447.70681003600214,0.0,3026.9612411994594,3449.958639788245,981.2797016570051,554.6687969113023,2574.628546694167,2890.7281685111257,61.0347740985779,282.6323291487009,396.41920166978724,1080.2928906860184,3137.8305571864666,550.044162627161,2904.1015822997597,1676.4132529504502,1340.8217432407473,947.2783414298938
2023,602.9573681070647,695.816055261718,1629.8476777972028,513.712668759224,3118.825346962034,266.3959408776462,764.0805827365004,460.2009507570885,0.9465952639542721,35.26840620204415,1241.833827345897,148.74032739134708,183.7402414651174,274.90018031055996,552.9841695203338,0.0,3057.8759306829643,3466.608872938571,1033.9080059926014,572.7450495831774,2625.613554029838,2914.4516795610407,79.8327649017967,293.66212330107606,405.94130582116003,1104.2938821120802,3139.3832172794037,589.2035431029416,2947.092599351287,1715.4036782111732,1356.0266086552626,973.4341199332308
2024,579.6005532364674,706.6936606282294,1653.188491145463,523.0020593423384,3129.2523413570907,278.82915346347994,770.6752544717388,453.68840264837064,0.459384639040963,42.31316852577105,1205.0878741577678,111.67133696604256,164.4944847128914,233.13140982816466,528.9945257046782,0.0,3070.243593390201,3472.5327336804935,1007.5881517128973,592.0394501376604,2671.357647979745,2909.4378418413585,40.607418395888956,303.9719371053039,423.6940208496,1139.1159936324002,3157.330145588089,580.7279038774423,2950.3517179932505,1703.339835331763,1391.9771267569483,975.0125681668235
2025,560.3928204492497,729.5900877048465,1650.532366454539,531.2516478991329,3156.1578201335333,267.4209105637562,765.251637038461,440.0600343265989,0.0,41.678676750988856,1224.280685465692,152.55913156147696,191.8507554297773,299.3826306694683,547.9212699318043,0.0,3093.7082005411667,3494.8665669007482,996.7731492315376,606.046600568421,2642.717896080556,2977.4786031227013,91.48264830619294,290.7028817962584,451.9625517637954,1100.1747020809078,3227.099981415464,565.2433772884791,2951.9530301807918,1734.697820320147,1354.614313994813,1005.7223584629655
2026,592.9504725144927,739.682818845463,1639.431353871369,535.2560588499078,3154.686872323609,263.2813896741246,770.9802319089426,450.058189214327,0.9338179317442641,55.696935862837265,1243.3857014581044,141.64338529228726,176.76451691925448,294.58528837073953,564.5258166524303,0.0,3113.268708711269,3499.390036841089,1029.5728502473853,606.9572545806304,2659.4925698302636,2988.2769915086983,82.49504835692049,295.9389991618954,445.459313731303,1144.3818935068555,3212.803522862817,581.635210104827,2987.865006038118,1754.3338137429262,1393.033777017481,1017.8430724730331
2027,532.2388999834619,728.65906938279,1634.8612655975576,539.689876948661,3156.5682754294007,276.6551724911361,760.5866051667529,397.4810491152572,0.47087887671601686,31.420993711753063,1229.6584658277054,143.43935616801292,197.4019974093962,262.65502638155874,525.1078442709722,0.0,3099.1689818271757,3493.0522911623184,996.0954048522835,616.7171620242864,2672.5549146607154,2991.7443993094635,74.71143528760547,314.3921844586663,443.8089183167114,1119.8969682580114,3186.4276848136724,570.63732458353,2958.922122302661,1725.2638147372436,1374.8645004232546,1001.019082536106
2028,597.0971902156025,757.7315969492555,1665.7498510778928,547.4459881575565,3188.525199129847,273.7004252179974,787.2989279436547,473.5846489233098,0.36184646584690044,29.738113500395997,1238.9165017681119,99.78817481854304,141.97546818854897,202.84376714360346,477.62381472996094,0.0,3126.4009785164376,3522.9001183099617,1029.5371940489738,644.0819985904664,2667.609927976676,3020.670626421875,44.93800390405168,302.66461588791356,472.33284330007507,1159.960579142892,3291.0760962511167,574.8819210481765,2988.257144855095,1774.8818815124869,1421.1721552211995,1020.1506784138946
2029,682.0626702775537,754.5422233132298,1697.7923670161501,549.225063179662,3190.4303105512427,289.1554454090021,797.9060718390368,556.0877522017496,3.5483966547211723,35.88446194686964,1246.1598573516203,176.0923129331392,231.3617973129621,309.04999195881385,584.9106510511932,0.0,3129.095314595622,3527.121995321667,1028.914420776718,651.9015021204757,2713.7978858779798,3014.8881880758045,72.2479970428322,309.89111616331274,472.2320177968183,1155.2200592395434,3218.6243952072773,579.4231686945898,3011.655479004539,1756.1895021069133,1404.596064337485,1033.2907062048114
