Year,USA (New York),Africa_Eastern (Nairobi),Africa_Northern (Cairo),Africa_Southern (Johannesburg),Africa_Western (Lagos),Australia_NZ (Sydney),Brazil (São Paulo),Canada (Toronto),Central_America_Caribbean (Mexico City),Central_Asia (Almaty),China (Shanghai),EU_12 (Warsaw),EU_15 (Paris),Europe_Eastern (Kiev),Europe_Non_EU (Belgrade),European_Free_Trade (Oslo),India (Mumbai),Indonesia (Jakarta),Japan (Tokyo),Mexico (Guadalajara),Middle_East (Riyadh),Pakistan (Karachi),Russia (Moscow),South_Africa (Cape Town),South_America_Northern (Bogotá),South_America_Southern (Buenos Aires),South_Asia (Dhaka),South_Korea (Seoul),Southeast_Asia (Bangkok),Taiwan (Taipei),Argentina (Córdoba),Colombia (Medellín)
2020,93.73269122030854,26.79429413497283,55.84012537685131,25.170399407365494,37.096299897999,28.63001345824708,36.13825310026213,128.33837950076725,1.6575797134491,30.98885752444707,38.38872974056449,75.86823284716388,76.2485163838478,96.40810769280769,119.80138376111009,0.0,58.33628594626641,34.932824322738,36.22383928590719,41.25833427754089,93.12399854584756,56.863754928726905,47.11600372134228,21.979262930754572,39.079848308476386,36.3728492427812,100.26764870171122,61.6123959814752,72.96928342687892,74.48497653437784,41.536121263051434,51.223647026483484
2021,81.03359682221114,22.419865640523046,83.59131572837526,51.42443816040186,30.294772506442744,39.507653452285524,24.274630923195048,71.27401285397228,0.0,40.081529638278816,58.43510644220427,50.17199496893739,35.43454830460724,83.97825166597438,108.68308325939013,2.6430644430214514,38.313134356337116,25.674968120616747,63.37297063691411,41.97717499182871,79.83154678127936,47.417218680694305,33.40150214529734,27.52212161776023,40.59307353301483,54.08064481887646,89.13397242032389,68.46078288189695,69.76967592905815,59.00313632280195,62.82824051153676,43.79876198080908
2022,69.15770518143707,30.035985956212695,87.27102974853722,36.845169374322836,40.81029710465786,29.135204882580744,40.71177499073269,96.26192371786179,0.0,24.872068351458676,34.16513676472828,51.466697414989746,73.0997391333288,82.9068920059377,113.9970356288649,0.0,46.005718278419934,40.878446652361745,36.82363943691581,23.23645935339043,89.66992868793194,54.90275485928307,69.87081297577231,20.823723788587326,44.50219858386571,63.291057034920925,104.04622935569931,57.12868745453269,82.82153997724629,53.59676121409856,69.30020681181354,57.61390358951945
2023,81.13532229168936,16.289410176740457,46.378175335387404,49.28285737856703,25.572391833086357,30.477091023472845,21.33403213437837,84.90117685289628,2.8397857918628167,25.841922964026693,73.30143121251737,78.59516085839353,45.86676871291335,127.21838037073431,172.6824241441142,0.0,30.59424308598285,22.4495119779695,68.10077430700002,29.682097269228066,52.86715638565285,45.24228327489499,52.20562761819391,14.585454000723459,32.396526692775964,40.25770131855879,46.60655486811332,78.1914294007093,55.35790048231557,63.9980042957622,39.58618266902924,35.000840238754265
2024,69.53428719136232,23.434314660842325,94.02768840496184,42.4793294783548,25.357789541197242,41.96295697299225,45.040264472459874,74.18888098601215,1.3781539171228887,25.623434814573894,42.70844924665332,67.26006494201687,44.27552327195096,107.89064135690411,119.66849810947444,0.0,22.85164734181118,25.59406183149237,36.894505618591076,31.499839656068552,87.3449773488882,57.71865919702143,43.086802148049564,27.390345446440236,37.25600391025786,58.74261711789481,94.81375457181868,60.12635006140656,40.23335325994521,42.98992539655652,65.54960889482545,34.77167436794775
2025,100.31081844573481,14.850386469565937,75.69579061064805,22.555101075737014,21.0273114915822,45.331053175098745,27.658172357545187,103.8065132981379,0.0,35.05009386884069,77.10885719987098,68.48464948913985,52.55928498278882,106.78987123192368,118.23873082597233,0.0,31.639421682404876,22.037068275665145,48.7557846645925,30.46461579580921,60.019161230061755,61.7722055728834,77.07723007518682,23.06046749300615,30.671555736207885,67.03291038365647,48.2613017608892,49.353147365051335,57.81241319807612,77.64052878499095,75.38006300617518,23.19944267613227
2026,118.68873760899503,26.75602116866229,72.2232773719343,41.44831360109984,21.96831334430554,22.755070547129623,20.373944640467762,135.436688995647,1.972064933696499,54.9800001078276,43.010463157531426,73.63949232116542,65.87366669193723,102.20843161212619,118.24854070071227,0.0,33.83882477784119,20.734466314652458,42.74202664432679,42.01761385591466,81.95391776784986,49.67530277460705,60.04486561047829,24.232853857528475,32.11346434694938,59.672597301854566,68.75912462293672,50.62825357707237,74.27604221618694,57.52916811596099,59.88935210943318,42.104558362670275
2027,123.55405830850343,30.826437508504906,62.864793895735595,48.73234321021485,24.790948075736186,43.090241414683625,29.34754173739767,140.59894388371183,1.4126366301480506,30.09803529533382,84.22282241089933,53.79836733956292,69.29631190257352,77.44664758842691,94.44495143226713,0.0,27.37901966776859,31.370487170062,62.8968212868766,35.89671503990275,63.577912158625075,50.85254197562789,78.48590677157011,18.39802241140948,32.2650659980596,40.86352761842941,101.79612587922605,61.08717821793146,67.01363967315302,81.63747867657281,44.7699822070032,35.09954042046495
2028,119.97576765487827,29.915522278080086,96.05347019933731,39.94048565494127,27.79375772887482,50.70213206329266,28.157277985904937,128.49350766347698,1.0855393975407013,31.54243591869442,56.70217303783096,49.09707912014198,58.21866085987873,70.88304324788429,132.29592725222074,0.0,35.78612352473028,27.213482760704252,37.07969971336699,30.985097727132885,83.00433374154697,43.30188066698579,48.60680897240215,26.84054887701397,32.870181302741344,34.63455935170918,90.82777632527883,63.39438698295561,67.67142775647763,47.61271705809226,36.84171399782155,38.425816925721364
2029,109.67166746466003,21.30058592440558,61.61883676338251,39.69296819024245,24.744057493729446,46.738028537173236,22.382672522002387,112.91392506332663,5.772026089973989,34.319057393846585,40.9937784254292,73.28144890427772,37.31880767986974,113.12202875648742,83.65964025732694,0.0,26.47914202633013,30.228098739461583,41.13074672092756,35.47379254843277,75.27467366661674,30.545185243625664,77.12113098707341,20.07276395469577,26.246716894142583,57.78162545326612,83.7981249382355,48.09260588302914,70.46126242411603,47.11731735140957,59.99401238236682,35.60769223788949
