Year,USA (New York),Africa_Eastern (Nairobi),Africa_Northern (Cairo),Africa_Southern (Johannesburg),Africa_Western (Lagos),Australia_NZ (Sydney),Brazil (São Paulo),Canada (Toronto),Central_America_Caribbean (Mexico City),Central_Asia (Almaty),China (Shanghai),EU_12 (Warsaw),EU_15 (Paris),Europe_Eastern (Kiev),Europe_Non_EU (Belgrade),European_Free_Trade (Oslo),India (Mumbai),Indonesia (Jakarta),Japan (Tokyo),Mexico (Guadalajara),Middle_East (Riyadh),Pakistan (Karachi),Russia (Moscow),South_Africa (Cape Town),South_America_Northern (Bogotá),South_America_Southern (Buenos Aires),South_Asia (Dhaka),South_Korea (Seoul),Southeast_Asia (Bangkok),Taiwan (Taipei),Argentina (Córdoba),Colombia (Medellín)
2020,666.9864469824079,709.8974155942591,1622.7209160984798,522.916883320586,3120.1225632660194,298.1558650444803,787.6489946441541,580.9658554883484,0.552526571149698,42.432694689035344,1247.353027280101,204.33671289164784,249.74751186862787,341.5520259573557,645.7081914602794,0.0,3082.1285694730223,3473.0561567439445,1033.276289197297,609.5822100898529,2622.626545077574,2923.158825928784,70.81354455793921,307.73949427673114,438.39585559448415,1125.261762992157,3277.30980290883,625.3054118436218,2996.684176340971,1794.7112983537581,1394.639490549523,1000.7147195973523
2021,661.6020024602345,700.6064102828949,1659.980245602037,546.1222192175003,3142.309676142202,312.2314178648416,786.6056983267931,518.1483695436698,0.0,70.74066456887108,1280.6341117039854,233.845338762802,242.13471079758378,384.24060471821525,658.3979901317616,0.8810214810071474,3101.3910823868296,3486.231888407056,1073.5705869319293,618.7439182457651,2665.1077432360235,2957.9355177936413,111.22945706008396,341.2240139077266,432.7084156177107,1133.5246826759508,3289.2398288125673,702.128507041745,3028.8363280036697,1786.9950376564843,1395.7037347644105,1027.5621574358318
2022,687.1919398356426,722.7695231781357,1658.4182027541067,552.8265096554599,3141.664678473326,289.62815199368293,758.0521615022652,544.6515752986038,0.0,59.02051668619561,1214.922384796031,197.35422722807837,209.69082806156948,338.0191859027079,624.4709746937635,0.0,3082.151122658649,3496.419498521225,1013.6311126832445,586.1302302880448,2634.0567571737433,2959.6936158134195,123.3012610488113,308.35774670950786,454.8036379332161,1146.582500229192,3247.4791522781547,609.7052356945765,2977.7015710352225,1730.0388041367746,1400.10682965651,1007.8673163191264
2023,713.9263745141816,707.2974135458302,1684.3714873302747,570.5504903134978,3148.7030040569666,299.30095740579094,782.5317447790665,567.9005678831478,0.9465952639542687,68.63262339561707,1334.1690022858832,228.88041715005207,240.56947701033053,412.8719769006895,762.8263760468554,0.0,3085.4056731038754,3490.7069999786663,1134.5168905063658,597.8830775796812,2695.150923523646,2955.498297976289,136.4019159863356,307.8152498441215,444.7517513941048,1142.9616714852489,3188.2416438288906,686.0989515380287,3016.563317618611,1785.7345816183781,1385.5361096484917,1016.9579173379435
2024,661.7486342267966,732.4450828764909,1758.029212647306,558.712177341255,3159.014560644994,343.84576563247333,831.4615692821183,554.0671560768502,0.4593846390409614,84.38074592727969,1259.0558746322229,190.21878750479388,233.3598736950594,339.85989447297794,705.730757030846,0.0,3090.7361310730207,3507.3617608536547,1053.5114148884916,617.9798026284026,2792.248984749299,2969.2152842716578,100.20553669916956,338.0713639238583,464.3677109307996,1206.8505434099486,3247.046151024999,650.8455069441433,2997.7601266752285,1741.8460012756755,1464.4550190376049,1028.7866631449592
2025,678.3888021696581,745.8818837128115,1709.381973022642,558.2084003901367,3179.5035226779723,322.9705643243105,799.5032638975131,571.5333111884554,0.0,84.5392708047264,1303.8654503866996,245.06322716134,264.22535829179316,443.79271345161555,748.2148122927575,0.0,3134.769979225867,3524.5826522715797,1048.9668907897208,629.9561478092162,2723.785913156044,3027.1578718227315,213.40357095457315,308.253978757737,494.89687086011253,1189.1580410791369,3286.4650425022464,609.92906500492,3022.8764963717613,1816.566048891569,1453.1550203672032,1026.42567716164
2026,723.163942532795,777.0629044304945,1707.380352609606,581.9127343514672,3179.255448480192,288.66207745103395,793.0963661017286,621.3730463337077,3.536338834750806,102.61676893713131,1297.4662646919887,231.61492523805916,238.39582362957714,449.65869813048266,732.4404674360097,0.0,3150.2694737002303,3524.1658282717895,1072.6025143887807,639.1034192015703,2754.096329202536,3041.469811980387,140.804349253457,321.3867003138559,479.57832936595514,1223.7914028674024,3293.8663926011864,635.6460766131758,3068.333762264189,1816.2170598784924,1472.468089372679,1070.7846103212912
2027,680.5654792991502,753.7159740643118,1716.278920458718,601.7777838187394,3190.190132781299,328.69477197905553,787.6063403069883,553.0875912652301,0.4708788767160152,66.18840088194777,1357.4343011556514,221.8064871435715,291.84165866559306,359.536119880488,644.8363894379994,0.0,3135.308199703695,3538.746281515804,1075.2320973646958,655.7922492900117,2755.7970254637125,3043.801647876477,184.39562725055782,330.1744217892497,484.82761399520507,1175.711601845106,3328.410755187062,640.0193487477497,3058.251980514013,1828.480292861847,1428.0291865795448,1051.4917182119866
2028,698.3413654396242,789.5727960764556,1753.9107930920304,595.707212967554,3225.9314453557,336.0888232725054,814.7734730404943,572.2062255654208,0.36184646584689917,75.21285941049351,1296.938335190057,169.16248093025183,205.4447482217054,278.1941306352208,621.0811127381155,0.0,3156.2567167373827,3552.4267349414226,1069.849102758694,680.4946867867982,2750.4270378863025,3084.8596092021367,119.36435638274227,331.78771024671676,509.95856881664963,1186.1877993648106,3427.797470501932,609.3056757395933,3050.57878698656,1817.759940132751,1452.7603285688435,1081.822178702589
2029,792.3845074270313,776.9584995207005,1783.4546997501718,604.5159483411611,3216.658936317876,344.2211037854334,820.8736817128004,682.6272023407853,14.352892326847453,84.32341830093638,1309.7180356052672,235.62418449433468,264.7559842320576,377.55097339514447,671.7758772362761,0.0,3151.3667785133703,3563.1620336493934,1082.5952486480708,701.4104328783882,2803.3564619574913,3054.5336033267654,137.21405115939604,333.1983199507147,497.70032154412706,1226.5519483296337,3313.497362415619,624.0645330069332,3109.0916852894156,1813.4255605521982,1468.2067279503917,1072.3907602744455
