Year,USA (New York),Africa_Eastern (Nairobi),Africa_Northern (Cairo),Africa_Southern (Johannesburg),Africa_Western (Lagos),Australia_NZ (Sydney),Brazil (São Paulo),Canada (Toronto),Central_America_Caribbean (Mexico City),Central_Asia (Almaty),China (Shanghai),EU_12 (Warsaw),EU_15 (Paris),Europe_Eastern (Kiev),Europe_Non_EU (Belgrade),European_Free_Trade (Oslo),India (Mumbai),Indonesia (Jakarta),Japan (Tokyo),Mexico (Guadalajara),Middle_East (Riyadh),Pakistan (Karachi),Russia (Moscow),South_Africa (Cape Town),South_America_Northern (Bogotá),South_America_Southern (Buenos Aires),South_Asia (Dhaka),South_Korea (Seoul),Southeast_Asia (Bangkok),Taiwan (Taipei),Argentina (Córdoba),Colombia (Medellín)
2020,2696.9010273755234,28.960077979028533,626.365356409747,827.4960154140363,0.0,1172.474322772978,274.0520873086383,3961.481093049738,1275.8890782370509,4573.55713354681,1723.207579954675,3324.206396537672,2230.1847845800526,3673.44445299574,2387.354115650963,5171.526626436511,0.0,0.0,1378.5691754724623,262.8285288644217,457.25263951588977,0.0,5091.505868235834,784.6662327320271,14.538845465761337,688.4613358940189,0.0,3155.6002715234936,0.0,255.69489548701358,676.8304053708013,0.0
2021,2694.5329386764897,16.942723145751653,622.1118952673099,819.0361301473707,0.0,1143.8994577437645,255.9918947835368,3943.1942226232204,1236.4908537174495,4535.995663334293,1656.4459774972224,3344.110394306492,2209.6592240345462,3753.219586277262,2444.5863341619015,5066.392164652273,0.0,0.0,1327.1136061829957,253.8055393924298,444.8151891012276,0.0,5103.6516223075905,780.8753480703975,9.509838519232481,656.5543551663892,0.7759111335952432,3087.240268300278,0.0,233.83283152452594,648.98845827132,0.0
2022,2796.863923587517,16.385115582733633,633.1392318454737,830.3772973994837,0.0,1168.1168323687732,251.2942205598109,4050.3247461809683,1273.290619443538,4518.042932004649,1721.8865489050731,3353.730016561853,2258.643550565305,3695.9656868053826,2457.7386223583962,5094.282702066707,0.0,0.0,1361.5077496239137,237.53730099382892,459.10501178834363,0.0,5042.843222228259,793.8746166758111,12.368705531889761,665.078242153192,1.500378615568332,3156.781221596586,0.0,250.9854666123303,653.5542540556494,0.0
2023,2793.220610723727,17.78285563411406,603.4753384718394,817.6423839313654,0.0,1140.2124178107933,263.8850496141599,4065.4465560253275,1235.406155386384,4430.849727854588,1703.5243817952482,3321.531496622625,2238.31771645778,3649.033902333339,2405.748270660678,5157.199951166435,0.0,0.0,1368.3277590087957,248.62199474661878,457.3986694042892,0.0,5048.654060988539,776.8173462221881,8.873628318939264,671.5774832424804,0.0,3122.5779731139364,0.0,254.42712393023498,659.532569213588,0.0
2024,2635.052688307662,16.728363384495193,560.2495529150955,836.0958101450353,0.0,1131.028256389737,246.58240880712384,3856.375633953509,1186.578394346289,4543.794037654968,1676.4657695374626,3244.128484612611,2223.58478364605,3544.2534705731086,2352.599459558046,5130.807990011328,0.0,0.0,1328.3237814969348,229.67700229577613,422.3117273134834,0.6919246311508246,4949.025340938619,784.6468219760199,12.174735110868257,684.2041332386159,3.1391738084464795,3098.5457291066386,0.0,243.08885657505303,668.3149748240328,0.0
2025,2680.631482940625,15.122067326956307,605.2231481003619,798.6896422091129,0.0,1146.7952078068024,246.26959006570192,3942.197689033329,1204.7090318095984,4452.21666335052,1677.623671407163,3280.5747505044865,2190.250643190674,3662.7116579086382,2395.5440026056654,5066.588777467883,0.0,0.0,1334.2149891101972,227.51583864806997,442.12224953095466,0.0,5026.405966707089,762.1495876144224,7.872409243641934,677.0430439475439,3.282562414481274,3119.9923581939574,0.0,246.84673635274902,661.5806245220823,0.0
2026,2636.3849758905503,10.671077860487577,569.0094495158412,795.6905253481638,0.0,1131.5021634725508,228.90609416011756,3866.7370119363914,1165.3663939067023,4447.354361503493,1657.0898882961071,3287.7608659016596,2166.4437428519695,3658.8289168990364,2379.7593149327663,5131.095560558383,0.0,0.0,1342.9081093045215,209.59355534602395,401.98140126537436,0.0,5039.286876661996,772.5765750564384,7.169122138791467,654.4355236523838,3.0953206689123336,3094.630696517535,0.0,240.57101298241528,643.48449348017,0.0
2027,2641.053544611628,12.737899773591762,587.4388460997193,790.9253574597828,0.0,1164.0531642931512,238.99092729801214,3893.185013057184,1182.2939735438667,4453.510366730307,1674.7572079927802,3341.643652193481,2197.9516148729017,3714.3633323373106,2402.470400680682,5103.142323574031,0.0,0.0,1345.54067265615,224.31549991190838,432.86936136944576,0.0,5081.134744184381,782.2550882751988,6.907065937503653,673.8944634141902,1.330396898635835,3149.565805667561,0.0,240.32092546441055,660.5535428597698,0.0
2028,2642.776865455883,6.384961776194334,577.100064409442,750.6846754106979,0.0,1126.2398671157955,214.53355594389853,3890.887190515292,1128.382306356337,4453.360803036674,1659.7917439749094,3370.4375012744226,2204.894088985778,3705.501372523436,2394.946672630944,5210.772898875328,0.0,0.0,1337.1206164755488,204.3965070132003,422.17335294658244,0.0,5112.828508962796,770.8692047337595,1.8530769827617732,702.9032935278107,0.0,3124.6413056466836,0.0,239.52005248038122,691.7436429249559,0.0
2029,2603.1136243843043,8.86139254997481,565.9991720092164,762.1268257193802,0.0,1115.9269429642252,213.36464976924375,3845.8060836940435,1117.9210884092442,4372.326199937301,1646.438909418758,3198.432826368421,2107.7908422315663,3537.8827607881403,2250.841097761699,5068.30608998308,0.0,0.0,1299.6300663777959,214.49126545436806,405.7305989975314,0.0,4945.084130516005,755.5914852986097,1.2284584221856227,658.519885262856,1.539040331675513,3056.5828115489676,0.0,236.8901992103418,641.5195762803776,0.0
2030,2569.630626031762,6.735049482873288,591.5604932049264,751.6507546723093,0.0,1119.9224794152778,220.31612245879077,3793.6175641419422,1134.766651282537,4354.459354477038,1612.4918060955572,3325.040358156144,2197.682426714073,3674.2891835726527,2441.0291996634433,5140.717422328208,0.0,0.0,1279.8620597440452,202.8200193563654,423.04107022601266,0.0,5012.673110351441,765.6037279814053,3.210290567107375,657.9463922448215,0.8579174502041502,3000.4184465997346,0.0,218.73974000797406,646.3069503968475,0.0
2031,2532.030409514149,5.070862620961568,500.4075488171469,743.6240217050207,0.0,1092.214258560142,213.2062256890143,3736.1696655785418,1100.4418921148463,4354.585250298236,1610.1830841606948,3290.9880600658275,2181.0360384626874,3592.4647172444224,2312.9466460856784,5183.990704411431,0.0,0.0,1267.6278787779029,210.97909320582207,384.1963747113667,0.0,4996.1754080040755,747.6829374309384,4.567726503766536,665.5214533391866,0.0,3036.1323928492156,0.0,224.97075713719929,654.8394216727055,0.0
2032,2506.0091522511075,4.137899929990169,552.883634765062,747.8122209400332,0.0,1112.0822581224088,209.78385561094075,3742.432453249499,1073.5370178875878,4290.55678348393,1577.7185320343276,3150.7522274785824,2078.240826480402,3480.3930896866323,2311.5780581269114,4949.77499667844,0.0,0.0,1262.063313225107,181.39483147969614,394.8210635541848,0.0,4763.733796035076,744.482007585827,0.9614895163620794,655.9426990485972,0.8323301262558258,3008.637452908776,0.0,208.80109528874505,640.3814013137255,0.0
2033,2478.199103494063,5.7178974878349695,572.7551795342044,736.1604822835985,0.0,1088.1801239969225,204.0213554569018,3686.9127713383627,1084.1620359534431,4322.7078003652405,1582.0170897189087,3083.3127842954354,2073.505571731746,3398.073092136092,2242.9505205406062,4935.182244090489,0.0,0.0,1236.330961372276,195.89612034749933,431.4981707637932,0.0,4741.1391436422255,749.7509281644628,1.5958560960715917,622.1452875709161,0.6353424841994217,2945.5057626490043,0.0,210.7415805062773,617.3722781311857,0.0
2034,2540.9379078055713,2.630326887968051,523.1440785181755,728.5719219373874,0.0,1081.8707021586176,184.25696087243324,3762.7250322526697,1061.021826272991,4271.112262936913,1589.2292597836156,3168.4998378416844,2076.835557973421,3504.4575236535516,2285.7929934590675,4981.08876067723,0.0,0.0,1264.2623072528133,190.48537591615678,382.5223266687493,0.0,4851.999749024395,740.3626918497856,1.207441837500074,624.8327711189362,0.0,2990.0063123626496,0.0,219.48186716236415,621.9954083671068,0.0
2035,2489.886546026871,2.1194599967772234,529.2926717919663,742.8209394916437,0.0,1079.5959236628887,195.11477349858902,3704.05260404691,1042.950641044938,4287.724165976091,1578.7027028890757,3139.8593889847757,2131.4182816726943,3437.964678440995,2253.0165091672507,5007.007167188751,0.0,0.0,1231.7451257603648,174.86731860865,395.7324536735468,0.0,4767.684256296731,733.8674728388576,0.0,654.5974029986738,0.0,2977.3906794756426,0.0,210.32229851079592,648.7529284930062,0.0
2036,2403.841612455983,1.5372587073980342,536.0783953561435,719.1341842463823,0.0,1064.2280435692323,173.30759883048535,3554.2708032211294,1017.6596472642275,4222.466743995183,1593.6367977745863,3197.0522046156757,2128.405785255118,3508.598229049761,2284.735607375997,5051.442120822535,0.0,0.0,1250.427852212803,182.24390948149585,401.9334002595311,0.0,4842.879118993693,733.7822999356229,0.4857522030943967,634.7873073575402,1.6885570136879633,2984.597112249326,0.0,204.03171203401445,630.8023799119834,0.0
2037,2433.285673073756,2.076213523358846,511.6552032917451,720.2552427793642,0.0,1093.5472977929817,185.6441067721741,3643.420461725277,1018.0005841744111,4301.8771056862115,1561.6327624929604,3185.5812826578267,2106.2950654329366,3504.1870770966752,2269.984228829587,4997.527483609275,0.0,0.0,1226.3539418350622,161.50158771002424,361.7273538452452,0.0,4798.6145898258055,735.2652958721357,1.5391824771490878,603.2048733453637,0.0,2951.0121092166623,0.0,202.54265568017092,595.9759881998112,0.0
2038,2446.4401205926124,0.7909679464069697,483.8147715247731,708.5034144409084,0.0,1060.9408001888683,168.9883837207095,3652.9074892021245,1006.4874195217839,4179.671258123488,1561.0122172434658,3103.026440926219,2106.1747085752004,3335.2956201468487,2144.150650632961,5017.749868135297,0.0,0.0,1214.9139790821682,171.38378428559858,359.87125675918287,0.0,4658.225960908411,725.8673107273427,2.235832285384949,597.8934302769685,0.46208107329673115,2930.8562964605044,0.0,222.04684324233835,594.284003500074,0.0
2039,2431.0663779694655,0.0,510.6548213970429,684.2467901334524,0.0,1052.7787112360281,160.09026733629545,3651.520735693152,969.2859004586811,4231.704799412776,1530.645013248541,3141.817044709956,2128.7891068590407,3401.6287700420153,2230.9372333772094,5035.26642006253,0.0,0.0,1198.628064647763,155.9699164348332,381.2160044174969,0.0,4720.734477753082,716.5459023723449,0.337851837799513,623.5040647336436,0.0,2902.722784714743,0.0,181.97534996119546,618.3769407916512,0.0
2040,2461.305025876672,1.6262381966191497,519.1460975250318,675.3267099312291,0.0,1025.8995209824814,146.26383967819984,3669.9506190344155,959.1695154178991,4266.0299539646785,1551.6704665231093,3067.883161436962,2115.7467477612818,3308.03873233079,2205.1492657021463,4998.34962356159,0.0,0.0,1209.692550711501,138.97856777743218,367.2885813576008,0.0,4595.567909184843,705.5317829924919,0.0,627.0181719629065,0.0,2922.947416309803,0.0,204.4423701255896,628.1704599015109,0.0
2041,2391.621707788421,0.0,470.4663316146507,671.0916551699879,0.0,1038.1118628721356,155.95001726584889,3545.958115254011,951.099846756904,4142.399991514899,1521.0900496694353,3158.9760404875697,2134.2802345035198,3391.0991179553266,2213.3208591566313,5101.651814947572,0.0,0.0,1185.148704024235,158.99105829668815,340.92273146436565,0.0,4736.99700154422,719.5004342757245,0.0,605.3980437161792,0.0,2899.622721447863,0.0,191.9356447188963,603.8340936803436,0.0
