Year,USA (New York),Africa_Eastern (Nairobi),Africa_Northern (Cairo),Africa_Southern (Johannesburg),Africa_Western (Lagos),Australia_NZ (Sydney),Brazil (São Paulo),Canada (Toronto),Central_America_Caribbean (Mexico City),Central_Asia (Almaty),China (Shanghai),EU_12 (Warsaw),EU_15 (Paris),Europe_Eastern (Kiev),Europe_Non_EU (Belgrade),European_Free_Trade (Oslo),India (Mumbai),Indonesia (Jakarta),Japan (Tokyo),Mexico (Guadalajara),Middle_East (Riyadh),Pakistan (Karachi),Russia (Moscow),South_Africa (Cape Town),South_America_Northern (Bogotá),South_America_Southern (Buenos Aires),South_Asia (Dhaka),South_Korea (Seoul),Southeast_Asia (Bangkok),Taiwan (Taipei),Argentina (Córdoba),Colombia (Medellín)
2020,155.93755083045886,13.312198598823816,77.40065689217444,31.134702826573637,0.0,59.130349541476654,31.29723587107116,193.59485850999997,58.37544957120214,138.31613114870876,39.64664969520532,186.48841503414903,82.34464538763817,229.98174540511073,168.5216253807348,181.82822403262787,0.0,0.0,42.227059043556686,21.295273922897085,22.64050079427122,0.0,257.59674429136885,49.22101911755193,15.518857475275764,53.93175209658877,0.0,57.71000428440227,0.0,22.53404881833965,47.75542418662782,0.0
2021,140.94467222958787,6.347097890138079,75.97774686394517,27.303367620933606,0.0,52.82254549647666,33.20849268163829,203.66262092300212,41.858782999886024,218.72383526969102,48.23421332571637,198.3449583104826,94.61812819151929,262.5852457855534,182.055443002159,221.6126043487323,0.0,0.0,58.781957948792936,17.155629607398513,55.31885695678193,0.0,305.6524076845039,25.19965558303937,5.721444034344411,19.93965265888182,1.5528419664866926,42.58683856468079,0.0,51.69831424193182,19.908874336758462,0.0
2022,150.42018789110952,8.241770135624177,73.48313981467169,28.524961876734338,0.0,49.81052429750597,23.424689762675587,230.31477350577052,29.34436030948721,96.0109786631846,64.7587808463792,171.25425986314437,141.72377983878272,158.56060757024824,164.13146787747223,144.72122637230692,0.0,0.0,64.95461671315816,26.406684346974487,41.298996589092525,0.0,175.76305246385903,35.06191979037284,12.759847118639689,37.36195645344621,4.501135846704996,104.12494568816284,0.0,38.65694191149283,37.76794203459944,0.0
2023,167.85336684233422,6.807919957827017,67.46062944149509,22.971191837924255,0.0,50.41765181934563,30.8100117891267,264.30611764450236,50.396974575797685,77.13193502094533,28.755655623137507,265.69333396607857,148.83973829882737,306.37693053667624,195.90619858916494,135.34513069633894,0.0,0.0,41.55105597254708,22.215055422176928,33.82731621765253,0.0,369.35743760900846,26.659997196874226,6.809392654556848,56.05984706083405,0.0,53.94419649123167,0.0,41.54292143096321,55.50154334016831,0.0
2024,132.2768434850904,7.545162569849135,62.68796808790702,29.582523921329674,0.0,53.024977040826016,19.786648435384404,147.81196628627924,49.93612481373739,103.0235296439602,37.99854176570704,195.76622450360176,115.21620315460724,265.5000795251846,188.28717933259915,192.78480808383281,0.0,0.0,47.573751339733725,23.918969878796883,57.50837335320406,1.3888246181590291,261.0022202596116,40.164957711401904,10.36361170884411,43.502154803251585,5.9593749632329045,85.15163839028874,0.0,45.70026538514275,38.6434995445157,0.0
2025,83.72674912348334,5.794599543521395,68.75716381618622,24.353310364834574,0.0,46.32517924616024,26.644436360154387,120.44274399005872,55.170912711335276,141.58959855587494,63.13473034143929,153.09219647436558,112.13566934548976,219.59843403703994,163.9703030410734,163.91230107863956,0.0,0.0,52.89726885729716,27.427027773846152,43.89741332624592,0.0,273.01218472530246,28.386603569358,6.881265233199485,59.456019688043206,9.847687243443824,88.8869451084799,0.0,20.781615498273652,65.44821758473465,0.0
2026,97.12879902496213,10.890089415748442,89.58870442438422,30.526463802743837,0.0,40.42866441132861,18.91449182145663,158.6625291823408,37.629036741455195,167.5224527714024,46.832679088315075,190.00339489501258,84.32159644215129,256.1651603671595,174.99204921854263,196.33414684665428,0.0,0.0,52.823738877546376,23.086271762154755,51.389578646665136,0.0,270.7333595090515,30.310702318510113,8.453603512163339,32.723409191912864,6.389516493781553,94.27671297437966,0.0,42.35303604404268,38.10212024232481,0.0
2027,142.8526103664867,9.540435330314327,39.06834274469411,40.97263908806392,0.0,36.49290722242478,17.754280617366188,187.15177188571457,56.66036388486437,148.57857088843608,69.05400020736909,148.27880427332016,119.36167156629732,172.5458684334865,89.18909981316423,135.07619460381548,0.0,0.0,49.818649961844535,21.05781809398768,31.649320791881898,0.0,237.22484692380365,16.046446245420203,9.062734103014376,49.92241012589197,3.9911906959075063,103.3444904974232,0.0,38.73992779275749,50.59614994524832,0.0
2028,126.28355973235539,5.9362811743893555,70.17630049288694,38.19834803310226,0.0,33.454584620022096,21.080777659452306,169.9950820544775,44.04600842439934,190.69430056266833,52.00976061550924,176.7675072104402,134.41316334778608,203.15254663086614,159.678579591653,181.29083857140117,0.0,0.0,35.124447187976166,30.22006659667473,62.22258027439012,0.0,161.31847412608192,23.279585209253888,4.593118045010842,49.291448828213746,0.0,66.41155488868944,0.0,63.69132995169229,47.51949350747419,0.0
2029,111.55983233848819,7.639894927795585,44.59113608868421,29.039218827040273,0.0,37.68999057291375,19.393540555848837,137.51128230171554,56.440736446150524,122.71647175952344,66.87735938039826,172.99976988129055,128.83368698884013,169.94843413474374,122.20860469910298,167.79830866472074,0.0,0.0,54.31694198971487,23.557737513894086,44.60922559828589,0.0,206.51850592662882,18.342091398076757,2.7761338194722955,21.383736637226548,4.617120995026538,90.16749486986214,0.0,48.57083067230761,26.453673193870287,0.0
