Year,USA (New York),Africa_Eastern (Nairobi),Africa_Northern (Cairo),Africa_Southern (Johannesburg),Africa_Western (Lagos),Australia_NZ (Sydney),Brazil (São Paulo),Canada (Toronto),Central_America_Caribbean (Mexico City),Central_Asia (Almaty),China (Shanghai),EU_12 (Warsaw),EU_15 (Paris),Europe_Eastern (Kiev),Europe_Non_EU (Belgrade),European_Free_Trade (Oslo),India (Mumbai),Indonesia (Jakarta),Japan (Tokyo),Mexico (Guadalajara),Middle_East (Riyadh),Pakistan (Karachi),Russia (Moscow),South_Africa (Cape Town),South_America_Northern (Bogotá),South_America_Southern (Buenos Aires),South_Asia (Dhaka),South_Korea (Seoul),Southeast_Asia (Bangkok),Taiwan (Taipei),Argentina (Córdoba),Colombia (Medellín)
2020,2919.078774839161,47.25516476724974,708.2885963788656,863.6531107793946,0.0,1240.8722738366619,317.75838454567935,4182.722033613995,1339.0262127967956,4710.786729007996,1780.9237250529836,3536.1360728605614,2314.6181127781024,3917.01632354062,2559.1080044778723,5487.997726843123,0.0,0.0,1432.1200894613153,295.4328115683934,485.9054632200639,0.0,5354.502389726782,849.1577527147882,40.80086853244943,743.6195462487267,0.0,3222.4804839341095,0.0,278.6404927880275,721.4756343102258,0.0
2021,2798.368166280901,24.054307017302104,696.3879853592566,852.1534569130861,0.0,1212.1791557134356,303.1920826124783,4186.415838655269,1289.758329366823,4785.626305537724,1710.9935389457503,3529.046154780757,2290.148516459908,4074.180287335261,2680.4548092697337,5338.320511702877,0.0,0.0,1387.3612822320972,272.9882973424311,507.18942398624705,0.0,5399.0169626124725,797.1427922831526,15.549412043693541,686.3424091065448,3.778904604450195,3138.427298231691,0.0,283.6390989999948,672.3657326492023,0.0
2022,2984.004826566157,24.92663712807285,747.0997343474762,857.066513513011,0.0,1235.6179586276364,279.3677719447658,4402.5480930551585,1313.2281552612333,4637.124616862409,1793.7999235685465,3562.239507325224,2392.9926317642185,3936.0458161893216,2603.5298012070807,5220.344633755363,0.0,0.0,1428.4943666907443,264.65995441182747,515.5514177106479,0.0,5266.626340981452,841.7219374218115,33.28202503573716,716.1730353467882,1.5003786155683267,3240.4808663969334,0.0,308.3465175218571,700.2010369456596,0.0
2023,3024.380135399051,24.743655782793134,670.1989075870118,845.153773373374,0.0,1182.4294219133121,297.2717746022333,4464.0661539102775,1298.8947539808296,4499.61772504212,1736.6104238828118,3680.8548994066145,2375.582837509527,4082.4329992150965,2646.9058045965585,5275.783004001445,0.0,0.0,1422.1339460826623,277.3267608810156,504.3062008570796,0.0,5566.652085074142,797.1838355664738,16.957937442997473,740.3975807266926,0.0,3174.365498889013,0.0,292.9974555998102,716.9808534318063,0.0
2024,2746.346083501073,28.44029902688264,666.7212565563021,868.5713881542357,0.0,1200.6756302002434,274.24103701559363,4011.135232453691,1248.1207499806135,4664.082719048691,1708.2245601090128,3469.5711995637876,2367.950334425026,3740.2072229712535,2587.2431347038414,5353.011735235826,0.0,0.0,1376.3004782034716,272.4216422006053,512.596529487876,3.2495181212080273,5218.66947114457,827.7305930473926,22.255518924203816,728.2923183187031,8.712296513011951,3173.7558646124185,0.0,287.09207403059173,704.6032903030874,0.0
2025,2784.876713623435,22.788375321452545,695.2766166270436,825.3905131907953,0.0,1188.2788406910233,275.4515290463705,4107.641193326976,1266.8513761858108,4601.526817224079,1736.7745800482621,3481.0070640639497,2316.752250982259,3920.6827244352544,2590.2795308158643,5233.55784563445,0.0,0.0,1404.8989242744972,259.72117409754634,497.6700161514784,0.0,5488.823664184817,799.7560788421424,11.906571651093296,751.0785228544521,3.2825624144812626,3240.1778645001446,0.0,282.6439862043982,750.9286739240305,0.0
2026,2735.997755851566,19.650701450834564,683.4235817013616,837.1713442065814,0.0,1189.7981897950845,247.51799784259697,4034.6970834486333,1205.819640970169,4650.847228669532,1718.6572414948628,3468.77879046427,2286.823783908133,3912.7669055490774,2571.046349857407,5285.468411116763,0.0,0.0,1397.8884114290247,237.81292954208465,460.877554156576,0.0,5235.3167182657435,788.6414975735217,14.454529305748704,686.5194846729548,12.64711245001661,3204.606626465336,0.0,299.1868961090719,681.2001719975574,0.0
2027,2768.827438484146,24.920053626289576,636.4265769766976,845.3521325307081,0.0,1207.501521571738,261.53107612552594,4078.145998966883,1247.9398372218186,4591.646567019861,1769.4953243765717,3527.563971038423,2342.076317308196,3904.8725646860594,2537.413907739821,5299.02775424396,0.0,0.0,1399.7116936979296,243.5559058364624,479.16435621336774,0.0,5391.0308632990755,798.9831548519222,14.619537783630491,737.8343485187963,1.3303968986358303,3300.1367518658067,0.0,285.7896686911188,726.0702775105659,0.0
2028,2779.606429219256,14.23533119348025,663.5018970456232,799.052142980044,0.0,1157.5275386392725,236.2242359879842,4070.3306156261374,1177.6131439851347,4717.286657507355,1726.480423585965,3632.575709261567,2389.7648834057736,3949.2009399292383,2652.0664910745677,5427.574147199349,0.0,0.0,1376.8217078495104,235.19295729009838,511.4322805035497,0.0,5314.181294537301,797.0607318128418,4.411963470171124,780.4365063194859,0.0,3206.0920111925884,0.0,304.00562929677244,756.6379789610977,0.0
2029,2705.8651803142816,14.59400114205054,616.3114109412912,791.3083630928888,0.0,1148.960072685414,236.2936412407062,3988.877656468475,1177.8664814511094,4539.889266200887,1712.1487073932542,3365.5627791123393,2229.2874026202353,3736.8091665558404,2418.569488811145,5223.66381007628,0.0,0.0,1352.1089669592359,245.4828619711867,450.76331585013463,0.0,5139.890679919398,780.187335459845,3.8302515552542795,684.8836414415406,1.5390403316755075,3153.474965082583,0.0,313.0032309042583,676.0416991111539,0.0
