source_id,experiment_id,activity_id,institution_id,doi,title
CESM2-WACCM,abrupt-4xCO2,CMIP,NCAR,10.22033/ESGF/CMIP6.10039,NCAR CESM2-WACCM model output prepared for CMIP6 CMIP abrupt-4xCO2
CESM2-WACCM,historical,CMIP,NCAR,10.22033/ESGF/CMIP6.10071,NCAR CESM2-WACCM model output prepared for CMIP6 CMIP historical
CESM2-WACCM,piControl,CMIP,NCAR,10.22033/ESGF/CMIP6.10094,NCAR CESM2-WACCM model output prepared for CMIP6 CMIP piControl
CESM2-WACCM,ssp126,ScenarioMIP,NCAR,10.22033/ESGF/CMIP6.10100,NCAR CESM2-WACCM model output prepared for CMIP6 ScenarioMIP ssp126
CESM2-WACCM,ssp245,ScenarioMIP,NCAR,10.22033/ESGF/CMIP6.10101,NCAR CESM2-WACCM model output prepared for CMIP6 ScenarioMIP ssp245
CESM2-WACCM,ssp534-over,ScenarioMIP,NCAR,10.22033/ESGF/CMIP6.10114,NCAR CESM2-WACCM model output prepared for CMIP6 ScenarioMIP ssp534-over
CESM2-WACCM,ssp585,ScenarioMIP,NCAR,10.22033/ESGF/CMIP6.10115,NCAR CESM2-WACCM model output prepared for CMIP6 ScenarioMIP ssp585
CNRM-ESM2-1,abrupt-4xCO2,CMIP,CNRM-CERFACS,10.22033/ESGF/CMIP6.3918,CNRM-CERFACS CNRM-ESM2-1 model output prepared for CMIP6 CMIP for experiment abrupt-4xCO2 
CNRM-ESM2-1,historical,CMIP,CNRM-CERFACS,10.22033/ESGF/CMIP6.4068,CNRM-CERFACS CNRM-ESM2-1 model output prepared for CMIP6 CMIP historical
CNRM-ESM2-1,piControl,CMIP,CNRM-CERFACS,10.22033/ESGF/CMIP6.4165,CNRM-CERFACS CNRM-ESM2-1 model output prepared for CMIP6 CMIP piControl
CNRM-ESM2-1,ssp126,ScenarioMIP,CNRM-CERFACS,10.22033/ESGF/CMIP6.4186,CNRM-CERFACS CNRM-ESM2-1 model output prepared for CMIP6 ScenarioMIP ssp126
CNRM-ESM2-1,ssp245,ScenarioMIP,CNRM-CERFACS,10.22033/ESGF/CMIP6.4191,CNRM-CERFACS CNRM-ESM2-1 model output prepared for CMIP6 ScenarioMIP ssp245
CNRM-ESM2-1,ssp534-over,ScenarioMIP,CNRM-CERFACS,10.22033/ESGF/CMIP6.4221,CNRM-CERFACS CNRM-ESM2-1 model output prepared for CMIP6 ScenarioMIP ssp534-over
